event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,event_abbreviation,type,code
24 weeks pregnancy CHILD,ICD10CM,P07.23,Extreme immaturity of newborn- gestational age 24 completed weeks,C2909943,Extreme immaturity of newborn- gestational age 24 completed weeks,narrow,P,24weeksCHILD,PrA,P07.23
24 weeks pregnancy CHILD,ICD9CM,765.22,24 completed weeks of gestation,C0730522,24 completed weeks of gestation,narrow,P,24weeksCHILD,PrA,765.22
24 weeks pregnancy CHILD,SCTSPA,15887011000119107,bebé prematuro- 24 semanas,C4076153,Baby premature 24 weeks,narrow,P,24weeksCHILD,PrA,15887011000119107
24 weeks pregnancy CHILD,SNOMEDCT_US,15887011000119107,Baby premature 24 weeks,C4076153,Baby premature 24 weeks,narrow,P,24weeksCHILD,PrA,15887011000119107
24 weeks pregnancy unknown,ICD10CM,Z3A.24,24 weeks gestation of pregnancy,C3264102,24 weeks gestation of pregnancy,narrow,P,24weeksUNK,PrA,Z3A.24
At term delivery,ICD10,O32.4,Maternal care for high head at term,C0495205,Maternal care for high head at term,possible,P,AtTerm,PrA,O32.4
At term delivery,ICD10,O60.2,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,"","",narrow,P,AtTerm,PrA,O60.2
At term delivery,ICD10,O60.20,Term delivery with preterm labor- unspecified trimester,"","",narrow,P,AtTerm,PrA,O60.20
At term delivery,ICD10,O60.22,Term delivery with preterm labor- second trimester,"","",narrow,P,AtTerm,PrA,O60.22
At term delivery,ICD10,O60.23,Term delivery with preterm labor- third trimester,"","",narrow,P,AtTerm,PrA,O60.23
At term delivery,ICD10CM,O32.4,Maternal care for high head at term,C0495205,Maternal care for high head at term,possible,P,AtTerm,PrA,O32.4
At term delivery,ICD10CM,O32.4XX0,Maternal care for high head at term- not applicable or unspecified,"","",narrow,P,AtTerm,PrA,O32.4XX0
At term delivery,ICD10CM,O32.4XX1,Maternal care for high head at term- fetus 1,"","",narrow,P,AtTerm,PrA,O32.4XX1
At term delivery,ICD10CM,O32.4XX2,Maternal care for high head at term- fetus 2,"","",narrow,P,AtTerm,PrA,O32.4XX2
