code,coding_system,event_abbreviation,tags
765.21,ICD9,Gestation_less24,
P07.22,ICD10,Gestation_less24,
XaEF7,READ,Gestation_less24,
62X0.,READ,Gestation_less24,
147035002,SNOMED,Gestation_less24,
313178001,SNOMED,Gestation_less24,
765.22,ICD9,Gestation_24,
P07.23,ICD10,Gestation_24,
XaEF8,READ,Gestation_24,
62X1.,READ,Gestation_24,
147036001,SNOMED,Gestation_24,
313179009,SNOMED,Gestation_24,
765.23,ICD9,Gestation_25_26,
P07.24,ICD10,Gestation_25_26,
P07.25,ICD10,Gestation_25_26,
765.24,ICD9,Gestation_27_28,
P07.26,ICD10,Gestation_27_28,
765.25,ICD9,Gestation_29_30,
P07.31,ICD10,Gestation_29_30,
P07.32,ICD10,Gestation_29_30,
P07.33,ICD10,Gestation_29_30,
765.26,ICD9,Gestation_31_32,
P07.34,ICD10,Gestation_31_32,
P07.35,ICD10,Gestation_31_32,
765.27,ICD9,Gestation_33_34,
P07.36,ICD10,Gestation_33_34,
P07.37,ICD10,Gestation_33_34,
765.28,ICD9,Gestation_35_36,
P07.38,ICD10,Gestation_35_36,
P07.39,ICD10,Gestation_35_36,
649.8,ICD9,Gestation_more37,
649.81,ICD9,Gestation_more37,
649.82,ICD9,Gestation_more37,
765.29,ICD9,Gestation_more37,
O75.82,ICD10,Gestation_more37,
622.5,ICD9,Ongoingpregnancy,
633.21,ICD9,Ongoingpregnancy,
633.81,ICD9,Ongoingpregnancy,
633.91,ICD9,Ongoingpregnancy,
638.1,ICD9,Ongoingpregnancy,
638.2,ICD9,Ongoingpregnancy,
638.3,ICD9,Ongoingpregnancy,
638.4,ICD9,Ongoingpregnancy,
638.5,ICD9,Ongoingpregnancy,
638.6,ICD9,Ongoingpregnancy,
638.7,ICD9,Ongoingpregnancy,
638.8,ICD9,Ongoingpregnancy,
638.9,ICD9,Ongoingpregnancy,
640.01,ICD9,Ongoingpregnancy,
640.8,ICD9,Ongoingpregnancy,
640.81,ICD9,Ongoingpregnancy,
640.83,ICD9,Ongoingpregnancy,
640.9,ICD9,Ongoingpregnancy,
640.91,ICD9,Ongoingpregnancy,
640.93,ICD9,Ongoingpregnancy,
641.1,ICD9,Ongoingpregnancy,
641.13,ICD9,Ongoingpregnancy,
641.23,ICD9,Ongoingpregnancy,
641.31,ICD9,Ongoingpregnancy,
641.9,ICD9,Ongoingpregnancy,
642.03,ICD9,Ongoingpregnancy,
642.1,ICD9,Ongoingpregnancy,
642.13,ICD9,Ongoingpregnancy,
642.2,ICD9,Ongoingpregnancy,
642.23,ICD9,Ongoingpregnancy,
642.24,ICD9,Ongoingpregnancy,
642.3,ICD9,Ongoingpregnancy,
642.4,ICD9,Ongoingpregnancy,
642.41,ICD9,Ongoingpregnancy,
642.7,ICD9,Ongoingpregnancy,
642.9,ICD9,Ongoingpregnancy,
642.93,ICD9,Ongoingpregnancy,
643.01,ICD9,Ongoingpregnancy,
643.03,ICD9,Ongoingpregnancy,
643.1,ICD9,Ongoingpregnancy,
643.13,ICD9,Ongoingpregnancy,
