event_definition,coding_system,code,code_name,concept,concept_name,tags,origin,system,event_abbreviation,type
Pregnancy Bleeding,ICD9CMP,641.20,Premature separation of placenta- unspecified as to episode of care or not applicable,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.23,Premature separation of placenta- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.80,Other antepartum hemorrhage- unspecified as to episode of care or not applicable,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,640.90,Unspecified hemorrhage in early pregnancy- unspecified as to episode of care or not applicable,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,640.93,Unspecified hemorrhage in early pregnancy- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.83,Other antepartum hemorrhage- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,656.03,Fetal-maternal hemorrhage- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,656,Fetal-maternal hemorrhage affecting management of mother,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,656.00,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable",C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.30,Antepartum hemorrhage associated with coagulation defects- unspecified as to episode of care or not applicable,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.33,Antepartum hemorrhage associated with coagulation defects- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.10,Hemorrhage from placenta previa- unspecified as to episode of care or not applicable,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.13,Hemorrhage from placenta previa- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.2,Premature separation of placenta,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,640.03,Threatened abortion- antepartum condition or complication,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.1,Hemorrhage from placenta previa,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
Pregnancy Bleeding,ICD9CMP,641.3,Antepartum hemorrhage associated with coagulation defects,C0000000,Unassociated custom codes,narrow,,P,BLEEDING,PrA
