code,code_name,event_abbreviation,event_definition,coding_system,code_issue_dot,concept,concept_name,tags,system,type
10000139,Abnormal glucose tolerance of mother- antepartum,GESTDIAB,Gestational diabetes,MDR,10000139,C0156882,Abnormal glucose tolerance of mother- antepartum,possible,P,PrA
10000230,Abortion missed,StillBirth,Stillbirth,MDR,10000230,C0000814,Missed abortion,possible,P,PrA
10010163,Fetal growth complications,FGR,Fetal growth restriction,MDR,10010163,C0851774,Foetal growth complications,narrow,P,PrA
10012598,Diabetes in pregnancy,GESTDIAB,Gestational diabetes,MDR,10012598,C0032969,Pregnancy in Diabetics,possible,P,PrA
10012606,Diabetes mellitus gestational,GESTDIAB,Gestational diabetes,MDR,10012606,C0085207,Gestational Diabetes,narrow,P,PrA
10012624,Diabetes mellitus- antepartum,GESTDIAB,Gestational diabetes,MDR,10012624,C0032969,Pregnancy in Diabetics,possible,P,PrA
10014129,Eclampsia,PREECLAMP,Preeclampsia,MDR,10014129,C0013537,Eclampsia,narrow,P,PrA
10014131,Eclampsia complicating pregnancy- childbirth or the puerperium- unspecified as to episode of care,PREECLAMP,Preeclampsia,MDR,10014131,C0156674,Eclampsia- unspecified as to episode of care or not applicable,narrow,P,PrA
10014132,Eclampsia- antepartum,PREECLAMP,Preeclampsia,MDR,10014132,C0156677,Eclampsia in pregnancy,narrow,P,PrA
10016480,Fetal death from asphyxia or anoxia before onset of labor or at unspecified time,StillBirth,Stillbirth,MDR,10016480,C0270131,Fetal death from asphyxia AND-OR anoxia before onset of labor,narrow,P,PrA
10016481,Fetal death from asphyxia or anoxia before onset of labor or at unspecified time,StillBirth,Stillbirth,MDR,10016481,C0270131,Fetal death from asphyxia AND-OR anoxia before onset of labor,narrow,P,PrA
10016497,Fetal growth retardation- unspecified,FGR,Fetal growth restriction,MDR,10016497,C0015934,Fetal Growth Retardation,narrow,P,PrA
10016498,Fetal growth retardation- unspecified {weight},FGR,Fetal growth restriction,MDR,10016498,C0015934,Fetal Growth Retardation,narrow,P,PrA
10016499,Fetal growth retardation- unspecified- 1-000-1-249 grams,FGR,Fetal growth restriction,MDR,10016499,C0158886,Foetal growth retardation- unspecified- 1-000-1-249 grams,narrow,P,PrA
10016500,Fetal growth retardation- unspecified- 1-250-1-499 grams,FGR,Fetal growth restriction,MDR,10016500,C0158887,Foetal growth retardation- unspecified- 1-250-1-499 grams,narrow,P,PrA
10016502,Fetal growth retardation- unspecified- 1-750-1-999 grams,FGR,Fetal growth restriction,MDR,10016502,C0158889,Foetal growth retardation- unspecified- 1-750-1-999 grams,narrow,P,PrA
10016504,Fetal growth retardation- unspecified- 2-500+ grams,FGR,Fetal growth restriction,MDR,10016504,C0158891,Foetal growth retardation- unspecified- 2-500+ grams,narrow,P,PrA
10016505,Fetal growth retardation- unspecified- 500-749 grams,FGR,Fetal growth restriction,MDR,10016505,C0158884,Foetal growth retardation- unspecified- 500-749 grams,narrow,P,PrA
10016507,Fetal growth retardation- unspecified- less than 500 grams,FGR,Fetal growth restriction,MDR,10016507,C0158883,Foetal growth retardation- unspecified- less than 500 grams,narrow,P,PrA
10016521,Fetal maturation impaired,FGR,Fetal growth restriction,MDR,10016521,C0235872,Foetal maturation impaired,narrow,P,PrA
10016539,Fetus macerated,StillBirth,Stillbirth,MDR,10016539,C0235658,Macerated fetus,possible,P,PrA
10016857,Foetal growth retardation,FGR,Fetal growth restriction,MDR,10016857,C0015934,Fetal Growth Retardation,narrow,P,PrA
10016862,Fetal malnutrition,FGR,Fetal growth restriction,MDR,10016862,"","",narrow,P,PrA
10016865,Foetal maturation impaired,FGR,Fetal growth restriction,MDR,10016865,C0235872,Foetal maturation impaired,narrow,P,PrA
10016873,Foetus macerated,StillBirth,Stillbirth,MDR,10016873,C0235658,Macerated fetus,possible,P,PrA
10018209,Gestational diabetes,GESTDIAB,Gestational diabetes,MDR,10018209,C0085207,Gestational Diabetes,narrow,P,PrA
10018210,Gestational diabetes mellitus,GESTDIAB,Gestational diabetes,MDR,10018210,C0085207,Gestational Diabetes,narrow,P,PrA
10022814,Intrauterine death affecting management of mother,StillBirth,Stillbirth,MDR,10022814,C0269792,Fetal death- affecting management of mother,narrow,P,PrA
10022815,Intrauterine death- affecting management of mother- antepartum,StillBirth,Stillbirth,MDR,10022815,C0157118,Intrauterine death- affecting management of mother- antepartum,possible,P,PrA
10022816,Intrauterine death- affecting management of mother- delivered,StillBirth,Stillbirth,MDR,10022816,C0157117,Intrauterine death- affecting management of mother- delivered,narrow,P,PrA
10022819,Intrauterine growth retardation,FGR,Fetal growth restriction,MDR,10022819,C0015934,Fetal Growth Retardation,narrow,P,PrA
10027620,Mild or unspecified pre-eclampsia,PREECLAMP,Preeclampsia,MDR,10027620,C0269658,Mild pre-eclampsia,narrow,P,PrA
10027623,Mild or unspecified pre-eclampsia- unspecified as to episode of care,PREECLAMP,Preeclampsia,MDR,10027623,C0156664,Mild or unspecified pre-eclampsia- unspecified as to episode of care or not applicable,narrow,P,PrA
10027704,Missed abortion,StillBirth,Stillbirth,MDR,10027704,C0000814,Missed abortion,possible,P,PrA
10030289,Oligohydramnios,FGR,Fetal growth restriction,MDR,10030289,C0079924,Oligohydramnios,possible,P,PrA
10030293,Oligohydramnios- unspecified as to episode of care,FGR,Fetal growth restriction,MDR,10030293,C0157141,Oligohydramnios- unspecified as to episode of care,possible,P,PrA
10032272,Other multiple pregnancy with fetal loss and retention of one or more fetus(es),StillBirth,Stillbirth,MDR,10032272,C0156913,Other multiple pregnancy with fetal loss and retention of one or more fetus(es),possible,P,PrA
10033741,Papyraceous fetus,StillBirth,Stillbirth,MDR,10033741,C0156724,Fetus papyraceous,possible,P,PrA
10033742,Papyraceous fetus- antepartum,StillBirth,Stillbirth,MDR,10033742,C0156727,Papyraceous foetus- antepartum,possible,P,PrA
10033745,Papyraceous foetus,StillBirth,Stillbirth,MDR,10033745,C0156724,Fetus papyraceous,possible,P,PrA
10035033,PIH Pregnancy induced hypertension,PREECLAMP,Preeclampsia,MDR,10035033,C0852036,Pregnancy associated hypertension,possible,P,PrA
10036150,Poor fetal growth affecting management of mother,FGR,Fetal growth restriction,MDR,10036150,C0157119,Poor fetal growth affecting management,narrow,P,PrA
10036153,Poor fetal growth- affecting management of mother- unspecified as to episode of care,FGR,Fetal growth restriction,MDR,10036153,C0157120,Poor fetal growth- affecting management of mother- unspecified as to episode of care or not applicable,narrow,P,PrA
10036485,Pre-eclampsia,PREECLAMP,Preeclampsia,MDR,10036485,C0032914,Pre-Eclampsia,narrow,P,PrA
10036492,Pre-eclampsia toxemia,PREECLAMP,Preeclampsia,MDR,10036492,C0032914,Pre-Eclampsia,narrow,P,PrA
10036493,Pre-eclamptic toxaemia,PREECLAMP,Preeclampsia,MDR,10036493,C0032914,Pre-Eclampsia,narrow,P,PrA
10036557,Pregnancy associated hypertension,PREECLAMP,Preeclampsia,MDR,10036557,C0852036,Pregnancy associated hypertension,possible,P,PrA
10036563,Pregnancy induced hypertension,PREECLAMP,Preeclampsia,MDR,10036563,C0852036,Pregnancy associated hypertension,possible,P,PrA
10037708,Quad preg with fetal loss and reten of one or more fetus- deliv- with or w-o ment of antepart cond,StillBirth,Stillbirth,MDR,10037708,C0156911,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,possible,P,PrA
10037709,Quad preg with fetal loss and retention of one or more fetus- antepart cond or comp,StillBirth,Stillbirth,MDR,10037709,C0156912,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,possible,P,PrA
10037710,Quad preg with fetal loss and retention of one or more fetus- unspec as to eoc or not appli,StillBirth,Stillbirth,MDR,10037710,C0156910,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- unspecified as to episode of care or not applicable,possible,P,PrA
10037723,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es),StillBirth,Stillbirth,MDR,10037723,C0156909,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es),possible,P,PrA
1004016001,trastorno fetal debido a amniocentesis y posterior a ella (trastorno),OngoingPregnancy7,Ongoing Pregnancy,SCTSPA,1004016001,"","",narrow,P,PrA
10040444,Severe pre-eclampsia,PREECLAMP,Preeclampsia,MDR,10040444,C0341950,Severe pre-eclampsia,narrow,P,PrA
10040447,Severe pre-eclampsia- unspecified as to episode of care,PREECLAMP,Preeclampsia,MDR,10040447,C0156669,Severe pre-eclampsia- unspecified as to episode of care or not applicable,narrow,P,PrA
10041042,Slow fetal growth and fetal malnutrition,FGR,Fetal growth restriction,MDR,10041042,C0158849,Slow fetal growth AND-OR fetal malnutrition,narrow,P,PrA
10042062,Stillbirth,StillBirth,Stillbirth,MDR,10042062,C0595939,Stillbirth,narrow,P,PrA
10042063,Stillbirth NOS,StillBirth,Stillbirth,MDR,10042063,C0595939,Stillbirth,narrow,P,PrA
10044382,Transient hypertension of pregnancy,PREECLAMP,Preeclampsia,MDR,10044382,C0341934,Transient hypertension of pregnancy,possible,P,PrA
10044674,Trip preg with fetal loss and reten of one or more fetus- deliv- with or w-o ment of antepart cond,StillBirth,Stillbirth,MDR,10044674,C0156907,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,possible,P,PrA
10044677,Triplet preg with fetal loss and retention of one or more fetus- antepart cond or comp,StillBirth,Stillbirth,MDR,10044677,C0156908,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,possible,P,PrA
10044678,Triplet preg with fetal loss and retention of one or more fetus- unspec as to eoc or not appli,StillBirth,Stillbirth,MDR,10044678,C0156906,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- unspecified as to episode of care or not applicable,possible,P,PrA
10044680,Triplet pregnancy with fetal loss and retention of one or more fetus(es),StillBirth,Stillbirth,MDR,10044680,C0156905,triplet pregnancy with fetal loss retaining one or more fetuses,possible,P,PrA
10045189,Twin pregnancy with fetal loss and retention of one fetus,StillBirth,Stillbirth,MDR,10045189,C0156901,Twin pregnancy with foetal loss and retention of one foetus,possible,P,PrA
10045190,Twin pregnancy with fetal loss and retention of one fetus- antepartum condition or complication,StillBirth,Stillbirth,MDR,10045190,C0156904,Twin pregnancy with fetal loss and retention of one fetus- antepartum condition or complication,possible,P,PrA
