event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
24 weeks pregnancy,ICD10CM,P07.23,Extreme immaturity of newborn- gestational age 24 completed weeks,C2909943,Extreme immaturity of newborn- gestational age 24 completed weeks,narrow,P,24weeksLB,PrA,P07.23
24 weeks pregnancy unknown,ICD9CM,765.22,24 completed weeks of gestation,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,765.22
24 weeks pregnancy unknown,SCTSPA,313179009,edad de gestación- 24 semanas,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,313179009
24 weeks pregnancy unknown,SCTSPA,69471007,edad gestacional- 24 semanas,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,69471007
24 weeks pregnancy unknown,SNOMEDCT_US,147036001,Gestation = 24 weeks,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,147036001
24 weeks pregnancy unknown,SNOMEDCT_US,169807001,Gestation = 24 weeks,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,169807001
24 weeks pregnancy unknown,SNOMEDCT_US,313179009,Gestation period- 24 weeks,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,313179009
24 weeks pregnancy unknown,SNOMEDCT_US,69471007,Gestation period- 24 weeks,C0730522,Gestation period- 24 weeks,"",P,24weeksUNK,PrA,69471007
At term delivery,ICD9CM,652.50,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,"",P,AtTerm,PrA,652.50
At term delivery,ICD9CM,652.51,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,"",P,AtTerm,PrA,652.51
At term delivery,ICD9CM,652.5,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,"",P,AtTerm,PrA,652.5
At term delivery,MTHICD9,652.50,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,"",P,AtTerm,PrA,652.50
At term delivery,MTHICD9,652.51,High head at term- delivered,C0156946,High head at term - delivered,"",P,AtTerm,PrA,652.51
At term delivery,MTHICD9,652.5,Failure of head to enter pelvic brim,C0426187,Failure of fetal head to enter pelvic brim,"",P,AtTerm,PrA,652.5
At term delivery,RCD2,L2271,High head at term - delivered,C0156946,High head at term - delivered,"",P,AtTerm,PrA,L2271
At term delivery,RCD2,L2270,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,"",P,AtTerm,PrA,L2270
At term delivery,RCD2,L227.,High head at term,C0426187,Failure of fetal head to enter pelvic brim,"",P,AtTerm,PrA,L227.
At term delivery,RCD2,L227z,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,"",P,AtTerm,PrA,L227z
At term delivery,SCTSPA,199375007,presentación alta a término - nacido,C0156946,High head at term - delivered,"",P,AtTerm,PrA,199375007
At term delivery,SNOMEDCT_US,199375007,High head at term - delivered,C0156946,High head at term - delivered,"",P,AtTerm,PrA,199375007
Birth classified as narrow,ICD10,O70.1,Second degree perineal laceration during delivery,C0269870,Second degree perineal laceration,"",P,BirthNarrow,PrA,O70.1
Birth classified as narrow,ICD10,O70.2,Third degree perineal laceration during delivery,C0269874,Third degree perineal laceration,"",P,BirthNarrow,PrA,O70.2
Birth classified as narrow,ICD10,O71.2,Postpartum inversion of uterus,C0157357,Inversion of uterus- postpartum,"",P,BirthNarrow,PrA,O71.2
Birth classified as narrow,ICD10,O71.3,Obstetric laceration of cervix,C0157358,Laceration of cervix - obstetric,"",P,BirthNarrow,PrA,O71.3
Birth classified as narrow,ICD10,O72.3,Postpartum coagulation defects,C0157403,Postpartum coagulation defects,"",P,BirthNarrow,PrA,O72.3
Birth classified as narrow,ICD10,O73,Retained placenta and membranes- without haemorrhage,C0157404,Retained placenta or membranes- without haemorrhage,"",P,BirthNarrow,PrA,O73
Birth classified as narrow,ICD10,O73.1,Retained portions of placenta and membranes- without haemorrhage,C0157408,Retained portions of placenta AND-OR membranes without hemorrhage,"",P,BirthNarrow,PrA,O73.1
Birth classified as narrow,ICD10,O75.1,Shock during or following labour and delivery,C0157450,Shock during AND-OR following labor AND-OR delivery,"",P,BirthNarrow,PrA,O75.1
Birth classified as narrow,ICD10,O90.4,Postpartum acute renal failure,C0157461,Postpartum acute renal failure,"",P,BirthNarrow,PrA,O90.4
Birth classified as narrow,ICD10,N85.5,Inversion of uterus,C0162482,Uterine Inversion,"",P,BirthNarrow,PrA,N85.5
Birth classified as narrow,ICD10,O70,Perineal laceration during delivery,C0269859,Obstetrical laceration,"",P,BirthNarrow,PrA,O70
Birth classified as narrow,ICD10,O70.9,Perineal laceration during delivery- unspecified,C0269859,Obstetrical laceration,"",P,BirthNarrow,PrA,O70.9
Birth classified as narrow,ICD10,O71.7,Obstetric haematoma of pelvis,C0269895,Pelvic hematoma during delivery,"",P,BirthNarrow,PrA,O71.7
Birth classified as narrow,ICD10,P21.0,Severe birth asphyxia,C0158931,Severe birth asphyxia- APGAR 0-3,exclude,P,BirthNarrow,PrA,P21.0
Birth classified as narrow,ICD10,P39,Other infections specific to the perinatal period,C0158950,Other infections specific to the perinatal period,exclude,P,BirthNarrow,PrA,P39
Birth classified as narrow,ICD10,P59,Neonatal jaundice from other and unspecified causes,C0158977,Perinatal jaundice from other causes,exclude,P,BirthNarrow,PrA,P59
Birth classified as narrow,ICD10,P78.0,Perinatal intestinal perforation,C0159006,Perinatal intestinal perforation,exclude,P,BirthNarrow,PrA,P78.0
Birth classified as narrow,ICD10,P78.8,Other specified perinatal digestive system disorders,C0159007,Other specified perinatal digestive system disorders,exclude,P,BirthNarrow,PrA,P78.8
Birth classified as narrow,ICD10,P96.8,Other specified conditions originating in the perinatal period,C0159027,Other specified conditions originating in the perinatal period,exclude,P,BirthNarrow,PrA,P96.8
Birth classified as narrow,ICD10,O75.9,Complication of labour and delivery- unspecified,C0269815,Complication of labor and delivery- unspecified,"",P,BirthNarrow,PrA,O75.9
Birth classified as narrow,ICD10,O90.3,Cardiomyopathy in the puerperium,C0269972,Postpartum cardiomyopathy,"",P,BirthNarrow,PrA,O90.3
Birth classified as narrow,ICD10,P96.9,Condition originating in the perinatal period- unspecified,C0270075,Perinatal disorder,exclude,P,BirthNarrow,PrA,P96.9
Birth classified as narrow,ICD10,P07.2,Extreme immaturity,C0270078,Extreme immaturity,exclude,P,BirthNarrow,PrA,P07.2
Birth classified as narrow,ICD10,P12,Birth injury to scalp,C0270089,Birth injury to scalp,exclude,P,BirthNarrow,PrA,P12
Birth classified as narrow,ICD10,P12.9,Birth injury to scalp- unspecified,C0270089,Birth injury to scalp,exclude,P,BirthNarrow,PrA,P12.9
Birth classified as narrow,ICD10,P13.4,Fracture of clavicle due to birth injury,C0270094,Fracture of clavicle due to birth trauma,exclude,P,BirthNarrow,PrA,P13.4
Birth classified as narrow,ICD10,P14,Birth injury to peripheral nervous system,C0270102,Peripheral nerve injury due to birth trauma,exclude,P,BirthNarrow,PrA,P14
Birth classified as narrow,ICD10,P14.9,Birth injury to peripheral nervous system- unspecified,C0270102,Peripheral nerve injury due to birth trauma,exclude,P,BirthNarrow,PrA,P14.9
Birth classified as narrow,ICD10,P11.3,Birth injury to facial nerve,C0270103,Facial nerve injury as birth trauma,exclude,P,BirthNarrow,PrA,P11.3
Birth classified as narrow,ICD10,P14.2,Phrenic nerve paralysis due to birth injury,C0270109,Phrenic nerve paralysis as birth trauma,exclude,P,BirthNarrow,PrA,P14.2
Birth classified as narrow,ICD10,P25.2,Pneumomediastinum originating in the perinatal period,C0270157,Perinatal pneumomediastinum,exclude,P,BirthNarrow,PrA,P25.2
